Date,SKU,Sales_Qty,Current_Stock,Lead_Time_Days
2024-01-01,SKU_A,162,0,7
2024-01-02,SKU_A,157,7,7
2024-01-03,SKU_A,161,1,7
2024-01-04,SKU_A,164,0,3
2024-01-05,SKU_A,157,17,5
2024-01-06,SKU_A,167,0,3
2024-01-07,SKU_A,174,0,5
2024-01-08,SKU_A,169,0,7
2024-01-09,SKU_A,159,3,7
2024-01-10,SKU_A,165,8,7
2024-01-11,SKU_A,156,6,3
2024-01-12,SKU_A,164,6,3
2024-01-13,SKU_A,172,0,3
2024-01-14,SKU_A,175,0,5
2024-01-15,SKU_A,157,10,7
2024-01-16,SKU_A,161,2,3
2024-01-17,SKU_A,165,2,3
2024-01-18,SKU_A,163,11,7
2024-01-19,SKU_A,168,7,5
2024-01-20,SKU_A,175,0,5
2024-01-21,SKU_A,170,0,3
2024-01-22,SKU_A,167,0,3
2024-01-23,SKU_A,165,11,5
2024-01-24,SKU_A,162,13,7
2024-01-25,SKU_A,161,2,7
2024-01-26,SKU_A,158,16,7
2024-01-27,SKU_A,169,0,5
2024-01-28,SKU_A,174,0,5
2024-01-29,SKU_A,167,4,3
2024-01-30,SKU_A,162,10,7
2024-01-31,SKU_A,166,9,5
2024-02-01,SKU_A,158,11,3
2024-02-02,SKU_A,164,0,7
2024-02-03,SKU_A,167,3,7
2024-02-04,SKU_A,177,0,7
2024-02-05,SKU_A,161,12,7
2024-02-06,SKU_A,167,0,5
2024-02-07,SKU_A,164,2,5
2024-02-08,SKU_A,166,10,3
2024-02-09,SKU_A,157,13,3
2024-02-10,SKU_A,169,0,7
2024-02-11,SKU_A,173,3,5
2024-02-12,SKU_A,158,17,3
2024-02-13,SKU_A,163,6,7
2024-02-14,SKU_A,159,10,5
2024-02-15,SKU_A,169,3,5
2024-02-16,SKU_A,168,0,5
2024-02-17,SKU_A,170,0,3
2024-02-18,SKU_A,170,0,3
2024-02-19,SKU_A,158,8,5
2024-02-20,SKU_A,162,0,5
2024-02-21,SKU_A,160,12,5
2024-02-22,SKU_A,167,4,7
2024-02-23,SKU_A,160,2,7
2024-02-24,SKU_A,175,0,7
2024-02-25,SKU_A,174,0,5
2024-02-26,SKU_A,159,14,5
2024-02-27,SKU_A,158,5,3
2024-02-28,SKU_A,161,5,5
2024-02-29,SKU_A,159,3,5
2024-03-01,SKU_A,159,6,3
2024-03-02,SKU_A,176,0,3
2024-03-03,SKU_A,177,0,3
2024-03-04,SKU_A,171,2,3
2024-03-05,SKU_A,160,9,7
2024-03-06,SKU_A,163,9,7
2024-03-07,SKU_A,165,0,3
